,intensity,length_ms,zero_crossings_sum
0,-36.79343187,3737,16995
1,-34.542084605,3904,13906
2,-32.29073734,4671,18723
3,-49.01983891,3637,11617
4,-31.21450288,4404,15137
5,-36.31224418,3570,12143
6,-42.703643035,3770,14239
7,-49.09504189,3437,11147
8,-45.90683694,3770,15293
9,-47.67466429,4371,13024
10,-49.44249164,4438,19359
11,-51.21031899,3637,12597
12,-52.97814634,3971,12339
13,-54.74597369,4504,13640
14,-43.82334959,5038,15485
15,-35.54925217,4872,15125
16,-47.83196588,3971,10575
17,-22.3675877,3737,21222
18,-27.46120938,3904,14749
19,-41.58574576,3704,16867
20,-31.76159144,5339,14713
21,-37.01615919,4705,15175
22,-30.41385981,3637,16499
23,-35.54700297,3971,13547
24,-40.68014613,3704,13467
25,-43.676136535,4838,15729
26,-46.67212694,3136,9267
27,-44.07302531333333,3604,12906
28,-41.473923686666666,3770,11446
29,-38.87482206,3837,11703
30,-29.87694438,3604,14759
31,-28.30790813666667,3737,14461
32,-26.73887189333333,4771,17297
33,-25.16983565,4238,18411
34,-41.18167804,3604,14315
35,-25.45817013,4504,20627
36,-24.61136441,4137,10885
37,-26.089807005,4638,11520
38,-27.5682496,4204,17072
39,-36.3618384,3737,12115
40,-45.1554272,3770,8611
41,-42.85075864,3770,11395
42,-38.86400386,5639,9811
43,-34.87724908,5072,15835
44,-40.04039884,3637,10439
45,-45.2035486,3670,10143
46,-42.3109892525,3737,15209
47,-39.418429905,4004,13031
48,-36.5258705575,5072,16911
49,-33.63331121,5038,13503
50,-35.83988526,5539,15813
51,-40.28781345,4571,13257
52,-45.10757094,3670,11757
53,-37.26407188,4137,16676
54,-27.38643799,3971,19295
55,-34.299269745000004,4538,18417
56,-41.2121015,4504,17224
57,-41.258304782500005,4404,19057
58,-41.304508065,4304,12953
59,-41.3507113475,3604,15801
60,-41.39691463,3804,13149
61,-42.38942692,6373,17155
62,-43.38193921,3704,13129
63,-37.420427895,3637,12905
64,-31.45891658,4905,15069
65,-35.418531005,4671,13159
66,-39.37814543,4238,15867
67,-38.22447764,4438,9841
68,-36.36441184,4071,11643
69,-42.14419939,4371,17041
70,-39.80810256,4705,10003
71,-41.460195805,5839,10733
72,-43.11228905,3670,11669
73,-40.16850086666667,3470,11019
74,-37.22471268333333,4371,12833
75,-34.2809245,4571,16134
