modality,vocal_channel,emotion,emotional_intensity,statement,repetition,actor,sex,channels,sample_width,frame_rate,frame_width,length_ms,frame_count,intensity,zero_crossings_sum,mfcc_mean,mfcc_std,mfcc_min,mfcc_max,sc_mean,sc_std,sc_min,sc_max,sc_kur,sc_skew,stft_mean,stft_std,stft_min,stft_max,stft_kur,stft_skew,mean,std,min,max,kur,skew
audio-only,speech,fearful,normal,Dogs are sitting by the door,2nd,2,F,1,2,48000,2,3737,179379,-36.79343187,16995,-33.485947,134.65486,-755.22345,171.69092,5792.550744,3328.055457,0,13541.95903,-1.120768525,0.250940162,0.41525045,0.33553314,0,1,-1.215024971,0.40351403,3.84E-07,0.014481636,-0.12863159,0.13894653,9.406061241,0.273153374
audio-only,speech,angry,normal,Dogs are sitting by the door,1st,16,F,1,2,48000,2,3904,187387,,13906,-29.502108,130.48563,-713.9856,205.0077,5197.620555,4040.93157,0,12000.29044,-1.531204256,0.219581798,0.4174879,0.35238042,0,1,-1.384174294,0.290905305,-7.15E-08,0.020417225,-0.3057251,0.26306152,19.56418749,0.292157235
audio-only,,happy,strong,Dogs are sitting by the door,2nd,16,F,1,2,48000,2,4671,224224,-32.29073734,18723,-30.532463,126.57711,-726.06036,165.45653,4830.743037,3332.1313,0,12007.75117,-1.130152745,0.436699155,0.37975752,0.35226968,0,1,-1.242946522,0.470350013,2.43E-06,0.024317175,-0.13748169,0.16635132,4.881240559,0.302658999
audio-only,,surprised,normal,Kids are talking by the door,1st,14,F,1,2,48000,2,3637,174575,-49.01983891,11617,-36.059555,159.72516,-842.94635,190.03609,5376.446478,4053.663073,0,12048.22389,-1.497764857,0.098802284,0.40727672,0.36055207,0,1,-1.445318113,0.274755933,2.37E-07,0.003560986,-0.027374268,0.02407837,13.04025938,-0.081014327
audio-only,song,happy,strong,Dogs are sitting by the door,2nd,2,F,1,2,48000,2,4404,211411,-31.21450288,15137,-31.405996,122.125824,-700.70276,161.134,5146.012474,3442.724109,0,12025.58271,-1.167543975,0.496065718,0.4159741,0.35065478,0,1,-1.366742068,0.318925588,8.45E-07,0.027522065,-0.19216919,0.24267578,7.485109355,0.414872104
audio-only,speech,fearful,normal,Dogs are sitting by the door,2nd,,F,1,2,48000,2,3570,171371,-36.31224418,12143,-30.500889,132.58173,-719.16547,213.68192,4251.116912,3833.178183,0,12063.20074,-1.114526836,0.555197753,0.34966907,0.34525588,0,1,-1.098179432,0.576157437,2.52E-07,0.015295548,-0.12246704,0.106170654,12.77589811,0.028185767
audio-only,speech,angry,normal,Dogs are sitting by the door,1st,2,F,1,2,48000,2,3770,180980,,14239,-30.177172,139.50746,-767.1936,228.32715,5718.247598,4008.803978,0,12840.22534,-1.503746209,0.092211321,0.47631174,0.34683928,0,1,-1.42589843,0.027191725,-1.57E-07,0.013859757,-0.13296509,0.14898682,14.2736227,0.011188323
audio-only,speech,neutral,normal,Dogs are sitting by the door,2nd,,F,1,2,48000,2,3437,164965,-49.09504189,11147,-36.048576,167.65213,-910.49744,220.38373,6085.206268,3737.829447,0,12000.00616,-1.601514389,-0.112736609,0.4873062,0.32824752,0,1,-1.307958278,0.056839806,-3.64E-07,0.003525873,-0.02722168,0.040893555,11.28992634,0.211352511
audio-only,speech,calm,normal,Dogs are sitting by the door,1st,12,F,1,2,48000,2,3770,180981,-45.90683694,15293,-33.899364,159.19762,-879.26,207.63217,6349.352394,4014.630498,0,12081.50726,-1.60962176,-0.072671374,0.5350295,0.32825288,0,1,-1.262960026,-0.216020428,-8.80E-07,0.005090685,-0.029510498,0.025878906,5.259552005,-0.96443334
audio-only,song,sad,strong,Dogs are sitting by the door,2nd,12,F,1,2,48000,2,4371,209810,,13024,-29.462296,116.833786,-645.9262,167.96753,5486.705835,3602.202957,991.3644025,12000,-1.288443609,0.542699965,0.5060431,0.36764336,0.000185477,1,-1.544715821,-0.141989818,2.49E-05,0.039338455,-0.28601074,0.33169556,11.37908866,0.47509841
